Symbol,Imbalance Side,Imbalance Size,Imbalance Reference Price,moc_date
ABT,BUY,24,8.45,20200330
ABX,BUY,201352,26.885,20200330
ACB,BUY,279144,1.255,20200330
ACI,BUY,50,33.425,20200330
ACO.X,BUY,19295,36.69,20200330
ACQ,BUY,406,5.22,20200330
ADN,BUY,100,13.13,20200330
AEM,BUY,4173,55.42,20200330
AGI,BUY,93339,6.975,20200330
AIM,BUY,2597,1.925,20200330
AKG,BUY,7400,1.165,20200330
ALA,BUY,78043,11.53,20200330
ALS,BUY,26400,7.095,20200330
AND,BUY,3800,23.75,20200330
AP.UN,BUY,55600,43.51,20200330
AQN,BUY,137046,17.555,20200330
AR,BUY,16901,1.035,20200330
ARE,BUY,108720,12.44,20200330
ATD.B,BUY,181965,32.4,20200330
ATZ,BUY,4237,12.445,20200330
AUP,BUY,5428,20.695,20200330
AX.UN,BUY,259021,7.575,20200330
AXU,BUY,410,1.715,20200330
BAD,BUY,7010,21.645,20200330
BAM.A,BUY,206267,62.09,20200330
BB,BUY,73319,5.505,20200330
BBD.B,BUY,522622,0.423,20200330
BBU.UN,BUY,4081,35.01,20200330
BCE,BUY,113988,54.635,20200330
BDT,BUY,100,4.445,20200330
BEI.UN,BUY,24352,21.535,20200330
BEP.UN,BUY,7733,58.365,20200330
BHC,BUY,81934,21.38,20200330
BIP.UN,BUY,50862,55.51,20200330
BIR,BUY,2100,0.755,20200330
BL.UN,BUY,100,9.26,20200330
BMO,BUY,102584,66.94,20200330
BNS,BUY,205412,54.15,20200330
BPY.UN,BUY,209679,11.625,20200330
BTB.UN,BUY,800,3.075,20200330
BTE,BUY,209375,0.293,20200330
BTO,BUY,922935,4.245,20200330
BYD,BUY,1052,144.17,20200330
CAE,BUY,31608,17.97,20200330
CAR.UN,BUY,94419,41.735,20200330
CAS,BUY,11311,11.99,20200330
CCL.B,BUY,33024,39.065,20200330
CEF,BUY,300,21.12,20200330
CG,BUY,14613,8.74,20200330
CGG,BUY,4944,0.565,20200330
CGO,BUY,1421,84.99,20200330
CGX,BUY,3192,11.62,20200330
CHE.UN,BUY,23265,4.67,20200330
CHP.UN,BUY,79895,12.22,20200330
CHR,BUY,6639,3.055,20200330
CIGI,BUY,4820,67.615,20200330
CIX,BUY,27117,13.115,20200330
CJR.B,BUY,26006,2.545,20200330
CLS,BUY,43682,4.905,20200330
CM,BUY,90697,77.995,20200330
CNE,BUY,38291,3.545,20200330
CNQ,BUY,421032,15.535,20200330
CNR,BUY,72299,107.445,20200330
CP,BUY,22594,306.07,20200330
CPG,BUY,59996,1.015,20200330
CPX,BUY,25309,25.36,20200330
CR,BUY,206000,0.19,20200330
CRON,BUY,19445,8.97,20200330
CRR.UN,BUY,15641,12.27,20200330
CSH.UN,BUY,51669,8.425,20200330
CSU,BUY,4737,1262.56,20200330
CU,BUY,28648,32.675,20200330
CUF.UN,BUY,87699,8.19,20200330
CVE,BUY,607393,2.385,20200330
CWX,BUY,100,3.255,20200330
D.UN,BUY,15139,23.12,20200330
DFN,BUY,100,4.41,20200330
DIR.UN,BUY,45733,8.955,20200330
DIV,BUY,46600,1.46,20200330
DML,BUY,3170,0.308,20200330
DOL,BUY,64675,40.265,20200330
DOO,BUY,96909,22.54,20200330
DR,BUY,39000,3.305,20200330
DRA.UN,BUY,23900,4.235,20200330
DRM,BUY,35400,9.21,20200330
DRT,BUY,163,1.415,20200330
DSG,BUY,9872,46.005,20200330
EDR,BUY,200,1.845,20200330
EDV,BUY,1661,19.905,20200330
EF.UN,BUY,100,6.91,20200330
EFN,BUY,26982,8.865,20200330
EFR,BUY,370,1.485,20200330
EFX,BUY,10294,5.2,20200330
EGLX,BUY,10100,1.715,20200330
EIF,BUY,566,17.975,20200330
EIT.UN,BUY,700,6.915,20200330
ELD,BUY,13144,8.65,20200330
ELF,BUY,312,609.0,20200330
EMA,BUY,28214,53.185,20200330
EMP.A,BUY,56200,27.015,20200330
ENB,BUY,138954,39.495,20200330
ENGH,BUY,2398,41.585,20200330
EQB,BUY,2023,53.985,20200330
EQX,BUY,72477,9.03,20200330
ERF,BUY,70323,1.775,20200330
ERO,BUY,855,10.305,20200330
EXE,BUY,22919,5.715,20200330
FCR.UN,BUY,20334,13.455,20200330
FEC,BUY,10518,2.985,20200330
FF,BUY,3858,0.17800000000000002,20200330
FFH,BUY,10380,407.15,20200330
FN,BUY,3292,24.455,20200330
FNV,BUY,52767,136.445,20200330
FOOD,BUY,100,3.22,20200330
FR,BUY,15098,8.915,20200330
FRU,BUY,20817,2.795,20200330
